sigma,n_pairs,dprime_analytic,h0_bottleneck_normalized,h0_standard_error
0.5,16,17.724538509055158,0.7986171701242302,0.04671061444364554
0.75,16,11.816359006036771,0.4904627923555497,0.0367274913271574
1.0,64,8.862269254527579,0.3514714037907671,0.015159280928028589
1.1,64,8.05660841320689,0.35214039405798947,0.017745636722785178
1.2,64,7.385224378772983,0.31365385207237184,0.013942923192570515
1.3,64,6.817130195790445,0.273598001275151,0.013842055267562523
1.4,64,6.330192324662557,0.2869120302200984,0.015428658079580677
1.5,64,5.908179503018386,0.27646933621319525,0.014215529491665189
1.6,64,5.538918284079736,0.21903036683981345,0.010914453628300555
1.7,64,5.213099561486811,0.23703275356735443,0.013679732992991448
1.8,64,4.923482919181988,0.1955650695873175,0.009077726010863228
1.9,64,4.664352239225042,0.20334012199466295,0.009925691717291994
2.0,64,4.4311346272637895,0.20350622339117636,0.010453696715842198
2.1,64,4.220128216441704,0.1979304816421451,0.01040860326523328
2.2,64,4.028304206603445,0.19734107525272,0.011064683260873974
2.3,64,3.853160545446774,0.16650573683342382,0.008211593951137923
2.4,64,3.6926121893864914,0.16242486675599807,0.007831349656511078
2.5,64,3.5449077018110318,0.18602563066809163,0.00845961315801821
3.0,16,2.954089751509193,0.15512471186908794,0.01423988820162194
4.0,16,2.2155673136318947,0.13444826741706906,0.010685254730503252
8.0,16,1.1077836568159474,0.0787934431213638,0.003531853455979083
