sigma,n_pairs,dprime_analytic,h0_bottleneck_normalized,h0_standard_error
0.5,16,17.724538509055158,0.7370697390314527,0.031906856971946576
0.75,16,11.816359006036771,0.42077391298393824,0.03560266001329568
0.8,64,11.077836568159473,0.3162980990225535,0.017537193329184162
0.9,64,9.846965838363976,0.2776181243641996,0.013895490609104196
1.0,64,8.862269254527579,0.2750529356732122,0.01567562089380155
1.1,64,8.05660841320689,0.20241849364201256,0.013297054772757553
1.2,64,7.385224378772983,0.20085782757083215,0.013405505552574897
1.3,64,6.817130195790445,0.17706984732904119,0.014338915823913612
1.4,64,6.330192324662557,0.14274903916550716,0.00811423130028281
1.5,64,5.908179503018386,0.1346836123210643,0.008597063173742666
1.6,64,5.538918284079736,0.144353545237271,0.012748834781010718
1.7,64,5.213099561486811,0.1240200842315053,0.008686249632983443
1.8,64,4.923482919181988,0.11573639253589199,0.0079886838296654
1.9,64,4.664352239225042,0.12099689968504401,0.008579220488892626
2.0,64,4.4311346272637895,0.10874640064557571,0.007119709047482268
2.1,64,4.220128216441704,0.10285171205137283,0.0051783980402442436
2.2,64,4.028304206603445,0.10156079375216474,0.007322194903616134
2.3,64,3.853160545446774,0.103646879341807,0.0066241333244359485
2.4,64,3.6926121893864914,0.0956357990157834,0.005215901252483785
2.5,64,3.5449077018110318,0.0913921714618264,0.006148677193087756
3.0,16,2.954089751509193,0.06096418253262475,0.004574412661531724
4.0,16,2.2155673136318947,0.0719469477769705,0.0078068611830197565
8.0,16,1.1077836568159474,0.05108658921398544,0.005503463264897674
