sigma,n_pairs,dprime_analytic,h0_bottleneck_normalized,h0_standard_error
0.5,16,17.724538509055158,0.7986171701242302,0.04671061444364554
0.75,16,11.816359006036771,0.4904627923555497,0.0367274913271574
0.8,64,11.077836568159473,0.4642015105693116,0.016232406567854324
0.9,64,9.846965838363976,0.44693345011008934,0.020035122416033915
1.0,64,8.862269254527579,0.3793401648453792,0.01643295358502932
1.1,64,8.05660841320689,0.32625365298553854,0.015555952930300673
1.2,64,7.385224378772983,0.34006857808701235,0.016580044870062607
1.3,64,6.817130195790445,0.31592544618992696,0.015667107774707797
1.4,64,6.330192324662557,0.252345321376648,0.012389102395396008
1.5,64,5.908179503018386,0.25830379045102825,0.015206164082106873
1.6,64,5.538918284079736,0.21790710433767418,0.0103001861890683
1.7,64,5.213099561486811,0.2217596725719505,0.011329814207600415
1.8,64,4.923482919181988,0.22128943797843792,0.011261001832334947
1.9,64,4.664352239225042,0.21520725190093531,0.011383757918381332
2.0,64,4.4311346272637895,0.21331269737045863,0.012362325934335523
2.1,64,4.220128216441704,0.17852148527116846,0.00884787120837734
2.2,64,4.028304206603445,0.17174025954516042,0.008556609087280644
2.3,64,3.853160545446774,0.19532048733496063,0.009326011344104431
2.4,64,3.6926121893864914,0.1674484535615997,0.007923872509134833
2.5,64,3.5449077018110318,0.1714293279599993,0.007854472046624306
3.0,16,2.954089751509193,0.12736028833328847,0.00900110139118248
4.0,16,2.2155673136318947,0.128342888317664,0.010621535182790609
8.0,16,1.1077836568159474,0.08286722720323095,0.004368992881122505
