sigma,n_pairs,dprime_analytic,h0_bottleneck_normalized,h0_standard_error
0.5,16,17.72453850905516,0.7606649202843957,0.03004290705485504
0.75,16,11.816359006036775,0.4467760266429197,0.05309045649193287
0.8,64,11.077836568159475,0.3919719090312093,0.02115421162023391
0.9,64,9.846965838363978,0.3123976799892216,0.019079105105167048
1.0,64,8.86226925452758,0.31162870844244495,0.020407878418466485
1.1,64,8.056608413206892,0.24824696561987328,0.013826307659938645
1.2,64,7.3852243787729845,0.22730586383306034,0.011626917832099199
1.3,64,6.817130195790447,0.2015843199408739,0.01238498247786952
1.4,64,6.330192324662558,0.16924333529563163,0.011111325287469406
1.5,64,5.9081795030183875,0.18713790736356165,0.012026511646236259
1.6,64,5.538918284079737,0.14821909373349176,0.007617576806657764
1.7,64,5.213099561486812,0.1611037388515255,0.010816043641292352
1.8,64,4.923482919181989,0.14294642242744432,0.0087215563129395
1.9,64,4.6643522392250425,0.12292008182135702,0.00797985810629428
2.0,64,4.43113462726379,0.124203122441208,0.006777441070037596
2.1,64,4.220128216441705,0.13344033304403624,0.00825876020344965
2.2,64,4.028304206603446,0.12257732590245758,0.007145214739348526
2.3,64,3.8531605454467743,0.11412712017115387,0.007231299867471673
2.4,64,3.6926121893864923,0.1202855488446508,0.008139535120973374
2.5,64,3.544907701811032,0.13051535339466497,0.008719204204503766
3.0,16,2.9540897515091937,0.0996424021355745,0.012699621861878115
4.0,16,2.215567313631895,0.08754067965030796,0.007648548502439503
8.0,16,1.1077836568159476,0.05617318993716687,0.0030878144287581726
