sigma,dprime_analytic,dprime_empirical,h0_bottleneck,h0_bottleneck_ci_low,h0_bottleneck_ci_high,h0_total_persistence_delta,h0_total_persistence_delta_ci_low,h0_total_persistence_delta_ci_high,h0_max_persistence_delta,h0_max_persistence_delta_ci_low,h0_max_persistence_delta_ci_high,h0_persistence_entropy_delta,h0_persistence_entropy_delta_ci_low,h0_persistence_entropy_delta_ci_high,h0_n_persistent_delta,h0_n_persistent_delta_ci_low,h0_n_persistent_delta_ci_high,h0_landscape_l2_delta,h0_landscape_l2_delta_ci_low,h0_landscape_l2_delta_ci_high,h1_bottleneck,h1_bottleneck_ci_low,h1_bottleneck_ci_high,h1_total_persistence_delta,h1_total_persistence_delta_ci_low,h1_total_persistence_delta_ci_high,h1_max_persistence_delta,h1_max_persistence_delta_ci_low,h1_max_persistence_delta_ci_high,h1_persistence_entropy_delta,h1_persistence_entropy_delta_ci_low,h1_persistence_entropy_delta_ci_high,h1_n_persistent_delta,h1_n_persistent_delta_ci_low,h1_n_persistent_delta_ci_high,h1_landscape_l2_delta,h1_landscape_l2_delta_ci_low,h1_landscape_l2_delta_ci_high
0.25,35.44907701811032,33.16961920321325,0.23504553091345465,0.21460569965715331,0.2535670927633966,-2.4763890687703487,-2.6674535073318264,-2.267294132995365,0.02121418720484021,0.009956095085495643,0.03511839200617927,-0.0025142929541852044,-0.0030547039862483735,-0.0020081445222967344,-3.5625,-4.6875,-2.1546875000000014,-0.009367146957229316,-0.011078054617683524,-0.00778348274031539,0.2526385916675163,0.23142576494543557,0.2728977312807485,-2.1252787671498083,-2.4056051903215314,-1.8659065241885124,-0.006648247629597648,-0.017244988440990962,5.578870698741412e-15,-0.0007650754197679466,-0.0010517597615354326,-0.0005174584948139093,-2.0,-3.1875,-0.8125,-0.00981823670692114,-0.011620269757188485,-0.008149903351363109
0.26131427798810974,33.91421748080229,34.722103059589855,0.24872005754447518,0.21965021900641177,0.27750437939780415,-2.561234753728975,-2.768680557706824,-2.343242818646237,0.03527289442204947,0.01127292345600029,0.06576739473168926,-0.003037917470829432,-0.003662586728435585,-0.0023395725811339143,-4.75,-5.9375,-3.4671875000000014,-0.007055393871937876,-0.010709932927156185,-0.003420343586844874,0.3044716980222605,0.2818226424718611,0.3328160859173033,-2.4391707479588476,-2.6302498140345145,-2.225948661324697,0.0004888255887073728,-0.004450003956979773,0.006174945582880884,-0.0011353370386202322,-0.0014258038671450825,-0.0008456506431210295,-3.0,-4.625,-1.4671875000000014,-0.011562915021507025,-0.013317182567339044,-0.010074813592897497
0.2731406075217884,32.44581365962085,32.34671759257594,0.2728136787724974,0.25154698138494824,0.29922482956184426,-2.2572945432510956,-2.4432948663960863,-2.044352449408446,0.04188295122819379,0.02371270880160062,0.06253446812205757,-0.0019563694113723384,-0.0024929719617469938,-0.0013955191470789066,-2.9375,-4.25,-1.75,-0.006993915803969714,-0.009559605381503047,-0.004546560560328292,0.29731301108172437,0.2790731342407562,0.31430850721331677,-2.0521131853077677,-2.274919072383812,-1.8376909117338405,-0.007572567745098915,-0.01546685484591357,8.534134354632248e-07,-0.0005881499825082237,-0.0009471762530071106,-0.0002999254724234499,-3.1875,-4.628125,-1.7171875000000014,-0.011865126553041838,-0.01398120627764748,-0.009746521913378766
0.2855021625751592,31.040988182338424,29.902935979122308,0.2605949180057824,0.23721136567865625,0.2832372343462469,-2.2516598399332253,-2.4488971724793376,-2.0449599246961685,0.06220889155859969,0.03883667200907937,0.08287714454023845,-0.002096651827742213,-0.0026379372217867265,-0.0015099506994784562,-3.4375,-4.75,-2.125,-0.006634843826174214,-0.010033065120143412,-0.003387802996502254,0.2623860105713917,0.24205083079897488,0.283197292147949,-2.191773621335784,-2.4097599333619595,-1.964294853007548,0.00024751775537797116,-9.11368946629465e-10,0.00075133736501269,-0.0005547846346674601,-0.0008722448037094113,-0.00023781263341396142,-2.0,-3.2828125,-0.75,-0.012377228642633076,-0.014488903915927293,-0.009842194644520927
0.29842316590948664,29.696988260005106,30.85059165975914,0.2938705689880857,0.2677798376683463,0.3222265784570267,-2.1593435764722564,-2.3805140192399357,-1.9137615757455362,0.06510688984104472,0.03396991705035215,0.10243058252887167,-0.002379537754056915,-0.0029126487600804746,-0.0018141289135043524,-3.4375,-4.660937499999999,-2.3421875000000014,-0.0046710181891128355,-0.0081951726947814,-0.0009614767853401535,0.28231319047847425,0.25401431442784356,0.31330734556043016,-2.318559470199716,-2.5800843219970715,-2.0911232078525432,0.001624166010769021,-3.3161050935897816e-05,0.0049016530570732,-0.0008069787645856863,-0.0010883143444471595,-0.0004904615953690641,-2.375,-4.0625,-0.4375,-0.011593237230341336,-0.01379576231201562,-0.009087630879661775
0.31192893653825365,28.411180292793226,27.93840267286579,0.29792456940492695,0.2780841453685457,0.31827488510080887,-2.29393697569936,-2.523776731871203,-2.0792824690510376,0.04464090990907958,0.011972704802465811,0.09151704462976334,-0.002015359039239162,-0.002623569311446075,-0.0012966330963683395,-2.6875,-4.125,-1.2171875000000014,-0.006682412478910077,-0.00991751581023489,-0.0040384543519229885,0.2768817459112821,0.25173521389558573,0.3060218226235927,-2.5201968314863805,-2.785162492807994,-2.292593857218561,-0.0080721228836909,-0.023224401152128024,2.212415171343185e-07,-0.0007761587925620983,-0.0010385030411738008,-0.000472203457169515,-1.1875,-2.5,0.3453124999999986,-0.012542044502511007,-0.01469543257756543,-0.010368913819043106
0.3260459393403706,27.18104470939585,26.598699639253873,0.3228264159911799,0.28522210709893364,0.3561131829862698,-2.169341649193143,-2.4459272885387997,-1.8868721103250043,0.04248367178766106,0.02378676262291289,0.06123855376887507,-0.0015532584874759503,-0.0021026495512841093,-0.0009794142349258698,-2.25,-3.7203125,-0.5921875000000014,-0.007050450154282212,-0.010566342695333302,-0.0035129745136292917,0.29072050008877437,0.26499433833635194,0.31606431554969944,-2.02597748618669,-2.236370984135943,-1.8068186785106066,0.0021524571643047608,-5.185128744644718e-06,0.006029556423318949,-0.0006000487609936211,-0.0008996329073396647,-0.00032194116164633034,-2.375,-3.875,-1.0,-0.011430264146078617,-0.013852838952090758,-0.009029106147732367
0.340801836918736,26.00417102986679,24.94205140454833,0.3208003599993561,0.288413141532656,0.35736098466522415,-2.1458215675773644,-2.361034333991095,-1.9096041366478185,0.08627741574821726,0.05056396051895504,0.123015731302682,-0.001704895970827125,-0.0022096538465804657,-0.0012017732704725434,-1.4375,-2.5953125,-0.125,-0.004688471819016299,-0.00947792929048046,0.0010358944917992464,0.31888439903194926,0.2898969387119526,0.3484514747316553,-2.1846025458094687,-2.550849388121488,-1.879903701320811,0.0016441345591277495,1.413319854759454e-07,0.004110643173665722,-0.0006015771935883873,-0.0008641919673142026,-0.00036028473499548634,-2.625,-3.75,-1.5625,-0.012741477790706002,-0.015808029397194417,-0.009147875706675924
0.3562255438057641,24.878253142227866,25.494920071430137,0.3431743161866957,0.3090362444715948,0.3713145185426307,-1.8264017910590908,-2.0306490139169915,-1.6094229457287443,0.08061973460934814,0.04956438744170396,0.11242465796189809,-0.0014675293149568613,-0.001781968685233172,-0.0012007254618096321,-1.6875,-2.5953125,-0.8421875000000014,-0.004306040978422215,-0.007138773649883796,-0.0016030697135617632,0.32005272583120237,0.29402589359034303,0.3444758384334843,-1.7753751021317328,-1.9587065646728004,-1.560598352366539,0.0009000534989045961,-2.923846530944116e-06,0.0025671934230236896,-0.0004804173388964217,-0.0007186041826578949,-0.0002666440958979806,-1.5,-3.0,0.15781249999999858,-0.010392564498099943,-0.01237955851453471,-0.008082927491797795
0.3723472831221001,23.801084783587548,25.562633550951173,0.33460012388947324,0.304213301884601,0.36743003612248976,-1.9827046464518787,-2.280781820042092,-1.6819576539099008,0.08439897483416267,0.039206601875291146,0.13999967218207834,-0.001458099585573136,-0.001960747193024817,-0.0009981343466720987,-1.3125,-2.3125,-0.5,-0.0022460630273887228,-0.006780234701932849,0.0042830808755004845,0.32175401825056327,0.28916530493789355,0.3632672668081564,-1.9747774885921388,-2.271579125191423,-1.6711620321064662,-0.00023201697807491428,-0.00463889883082487,0.003710939403101368,-0.0003944931548019448,-0.0006440133598506995,-0.00016308577565422877,-1.6875,-2.6875,-0.5625,-0.012661471272049696,-0.015355154424418926,-0.01026510429091497
