sigma,sigma_index,realization,h0_bottleneck,h0_total_persistence_absent,h0_total_persistence_present,h0_total_persistence_delta,h0_max_persistence_absent,h0_max_persistence_present,h0_max_persistence_delta,h0_persistence_entropy_absent,h0_persistence_entropy_present,h0_persistence_entropy_delta,h0_n_persistent_absent,h0_n_persistent_present,h0_n_persistent_delta,h0_landscape_l2_absent,h0_landscape_l2_present,h0_landscape_l2_delta,h1_bottleneck,h1_total_persistence_absent,h1_total_persistence_present,h1_total_persistence_delta,h1_max_persistence_absent,h1_max_persistence_present,h1_max_persistence_delta,h1_persistence_entropy_absent,h1_persistence_entropy_present,h1_persistence_entropy_delta,h1_n_persistent_absent,h1_n_persistent_present,h1_n_persistent_delta,h1_landscape_l2_absent,h1_landscape_l2_present,h1_landscape_l2_delta
0.25,0,15,0.25022287821143974,413.9335503648465,412.1690196560849,-1.7645307087615834,0.8264041888692184,0.8289125955727689,0.0025084067035504587,7.257737899200105,7.256488323431626,-0.0012495757684787279,1724.0,1725.0,1.0,2.221657859707883,2.214762765782711,-0.00689509392517218,0.3332755392459983,778.3764403225116,777.0377327303196,-1.3387075921920086,0.9063933509555204,0.9063933509555204,0.0,7.786006149931654,7.785551961778972,-0.00045418815268227775,2993.0,2993.0,0.0,3.4248775982591617,3.41678294690635,-0.00809465135281151
0.26131427798810974,1,0,0.24616578258135471,432.5186047662092,430.23684736101563,-2.2817574051935594,1.069415474653379,1.2972569745777982,0.22784149992441916,7.238018212765119,7.235908036251647,-0.002110176513471451,1699.0,1698.0,-1.0,2.4495249524624443,2.4593091474577613,0.00978419499531702,0.2955426206109708,816.4111075720507,813.5456489137428,-2.8654586583079436,0.9345991866786832,0.9676021590807994,0.03300297240211614,7.78778957411109,7.785895139297996,-0.001894434813094037,2969.0,2959.0,-10.0,3.6287638999841536,3.616444352476045,-0.012319547508108819
0.26131427798810974,1,1,0.21185627271297952,432.9444481159098,429.92746448947645,-3.01698362643333,0.9513987119703384,0.9513984338256365,-2.7814470193732177e-07,7.2277901520534416,7.223634628044966,-0.004155524008475631,1695.0,1692.0,-3.0,2.4724829528312053,2.4628720617515247,-0.009610891079680606,0.2756278384499058,824.5260401796047,822.6563075566477,-1.8697326229570308,1.1056849195976008,1.1056849195976008,0.0,7.796982322555195,7.7966790481196435,-0.00030327443555133726,3015.0,3015.0,0.0,3.6886851183183014,3.678789721888501,-0.009895396429800307
0.26131427798810974,1,2,0.3773465782964776,425.3031112684657,423.3685461174749,-1.9345651509908066,0.8601220850662076,0.8777074883682271,0.01758540330201952,7.240685468819038,7.23649137148759,-0.004194097331447821,1707.0,1697.0,-10.0,2.356897019743913,2.3489345355803817,-0.007962484163531514,0.24715169806745385,829.7164036497335,827.5248071146397,-2.1915965350938222,1.1288293038066692,1.1288290925094346,-2.1129723459800687e-07,7.800480114259305,7.7994818892825215,-0.0009982249767839235,3024.0,3025.0,1.0,3.6735363409221238,3.6641020211964324,-0.00943431972569142
0.26131427798810974,1,3,0.30831023426519616,441.1217593683856,438.476637580456,-2.645121787929611,0.926363975479568,0.9697428837370816,0.04337890825751367,7.273259204830653,7.272693606082605,-0.0005655987480484015,1752.0,1751.0,-1.0,2.409842863684298,2.3947522455432595,-0.015090618141038625,0.27794240249221525,809.2552242830357,806.7324248366115,-2.5227994464241874,1.2786433257268124,1.2786433257268124,0.0,7.768084589019624,7.766604221483855,-0.0014803675357688562,2919.0,2916.0,-3.0,3.7055393651021804,3.6897279233923648,-0.015811441709815632
0.26131427798810974,1,4,0.2073592199384254,435.59562373754864,432.4021092875824,-3.1935144499662442,0.9173343391457288,0.9173343391457288,0.0,7.253988986162205,7.25355389150009,-0.0004350946621149987,1721.0,1719.0,-2.0,2.4103907324968876,2.3873027397429825,-0.023087992753905162,0.4617483063278389,802.9569089754905,800.4618784251335,-2.4950305503570007,1.1001623905646025,1.1001623905646025,0.0,7.751525352083512,7.750366414690941,-0.0011589373925708912,2879.0,2875.0,-4.0,3.703208187492118,3.6906483099002796,-0.012559877591838298
0.26131427798810974,1,5,0.12728760143649967,446.06671447028594,443.10844117950194,-2.958273290784007,0.9562148026617425,1.0062051120303568,0.04999030936861426,7.262356246843567,7.257147751536154,-0.005208495307413408,1727.0,1721.0,-6.0,2.473677639504804,2.4698190868935757,-0.003858552611228472,0.3229642815448581,817.3576795186355,814.0104796708781,-3.347199847757338,1.2846264662474656,1.2844166434401632,-0.00020982280730241776,7.780131986662287,7.779479811485102,-0.000652175177185299,2990.0,2988.0,-2.0,3.778808128931296,3.7582368203390244,-0.02057130859227163
0.26131427798810974,1,6,0.2642317573175748,433.37501009707523,431.31344239097,-2.0615677061052224,0.9691228004187908,1.0036998679991889,0.034577067580398024,7.218909316066396,7.215363827014345,-0.0035454890520512095,1676.0,1669.0,-7.0,2.508259728793148,2.5018328006313935,-0.006426928161754386,0.2928626743417607,803.3641612965343,800.5857515727847,-2.7784097237496326,1.0394425785043262,1.014470814699017,-0.0249717638053093,7.780540103591603,7.7783452327717475,-0.0021948708198555877,2952.0,2942.0,-10.0,3.5756674542960685,3.565779306175468,-0.009888148120600349
0.26131427798810974,1,7,0.21534207721512935,434.2164866884747,431.27696134848765,-2.9395253399870285,0.859189642692653,0.8703663148200678,0.0111766721274148,7.236876812485043,7.233302334696214,-0.0035744777888293555,1693.0,1689.0,-4.0,2.4266055383073337,2.4166137186708156,-0.009991819636518073,0.27817260208807215,802.9404675694909,800.1334352740292,-2.8070322954616813,1.1134640232092567,1.1134640232092567,0.0,7.790000675240414,7.78866464655108,-0.0013360286893338014,2996.0,2990.0,-6.0,3.5906432604863436,3.581951027637364,-0.008692232848979575
0.26131427798810974,1,8,0.2901525276566379,436.7908723273305,434.17464494486023,-2.6162273824702424,0.9810054920002803,0.9993733534053302,0.018367861405049868,7.250251143869998,7.244938192883733,-0.0053129509862648305,1717.0,1709.0,-8.0,2.459913838828171,2.4544673198830744,-0.005446518945096734,0.2913514793460953,817.9538616381374,816.4560402817297,-1.4978213564077123,1.0444921177995956,1.0444921177995956,0.0,7.7854940839311615,7.78444826807663,-0.0010458158545318952,2980.0,2976.0,-4.0,3.687933874480514,3.679350186656352,-0.008583687824161856
