sigma,realization,dprime_analytic,h0_bottleneck_normalized,h1_bottleneck_normalized
0.5,0,17.72453850905516,0.645059386752427,0.517377919632293
0.5,1,17.72453850905516,0.9370395800882805,0.9542729968473176
0.5,2,17.72453850905516,0.9224806636306053,0.5278826770869055
0.5,3,17.72453850905516,1.0529320764640842,0.559090322140425
0.5,4,17.72453850905516,0.5930682657058114,0.5119423071276311
0.5,5,17.72453850905516,0.7474302879032966,0.8155198885901007
0.5,6,17.72453850905516,0.5521722233795905,0.5352112591246311
0.5,7,17.72453850905516,0.7839184155894111,0.5479681125304315
0.5,8,17.72453850905516,0.9071681089477899,0.5953772593962948
0.5,9,17.72453850905516,0.8199710618847584,0.5848892302414055
0.5,10,17.72453850905516,0.7347481140888266,0.6713787130655432
0.5,11,17.72453850905516,0.6263799518974258,0.6442827824767425
0.5,12,17.72453850905516,0.9574026743512294,0.46410627569776486
0.5,13,17.72453850905516,0.9095388225773797,0.8737497763576125
0.5,14,17.72453850905516,0.5305289415071809,0.6728362966646471
0.5,15,17.72453850905516,0.6918637814846422,0.8235592892397814
0.75,0,11.816359006036775,0.5759644669298011,0.5543310509336958
0.75,1,11.816359006036775,0.24911272536273152,0.27298261103944044
0.75,2,11.816359006036775,0.2968476297219302,0.5480522063880168
0.75,3,11.816359006036775,0.517414324803561,0.2875284650250712
0.75,4,11.816359006036775,0.7089470812138666,0.27265386022731836
0.75,5,11.816359006036775,0.7651291068902255,0.4358650903196389
0.75,6,11.816359006036775,0.17193636045122487,0.3347180213508338
0.75,7,11.816359006036775,0.6709635853577639,0.36493053831624717
0.75,8,11.816359006036775,0.3731226839034332,0.21568705474998248
0.75,9,11.816359006036775,0.4393979607212039,0.20802465124507716
0.75,10,11.816359006036775,0.41706760796393255,0.1780545101873994
0.75,11,11.816359006036775,0.5252873123116684,0.39283759574768884
0.75,12,11.816359006036775,0.4035761213473837,0.1963570047558314
0.75,13,11.816359006036775,0.7042535949077534,0.22817180734984466
0.75,14,11.816359006036775,0.5165936671532069,0.2824861363231857
0.75,15,11.816359006036775,1.0350632730640492,0.240131209638241
1.0,0,8.86226925452758,0.2726033157111162,0.25426001930424263
1.0,1,8.86226925452758,0.5320804239764914,0.20399606166526435
1.0,2,8.86226925452758,0.34773821710716013,0.16366563218273977
1.0,3,8.86226925452758,0.25418236539661265,0.3790533381438165
1.0,4,8.86226925452758,0.38605048260665015,0.1568805988751929
1.0,5,8.86226925452758,0.45579273181697266,0.41279868620256516
1.0,6,8.86226925452758,0.20632976456887936,0.28844862972027646
1.0,7,8.86226925452758,0.2153002543385987,0.14806682541810384
1.0,8,8.86226925452758,0.21323401643826378,0.2417852069682186
1.0,9,8.86226925452758,0.34636235005392035,0.18693454818313193
1.0,10,8.86226925452758,0.48487308003796636,0.30352279825564
1.0,11,8.86226925452758,0.31561288794571796,0.3066766375222699
1.0,12,8.86226925452758,0.3984321798780471,0.27332308828826013
1.0,13,8.86226925452758,0.2761319907466336,0.17015823903643623
1.0,14,8.86226925452758,0.11701039244148871,0.29719582090994784
1.0,15,8.86226925452758,0.3552332398130216,0.20809505842756665
1.0,16,8.86226925452758,0.6996760970846608,0.2583234694190728
