sigma,n_pairs,dprime_analytic,h0_bottleneck_normalized,h0_standard_error
0.5,16,17.72453850905516,0.7651956026148811,0.044768547849861576
0.75,16,11.816359006036775,0.5913322200034337,0.04702534759011238
1.0,64,8.86226925452758,0.3405251384670501,0.016702143777413303
1.1,64,8.056608413206892,0.33181937587375065,0.01706130037785946
1.2,64,7.3852243787729845,0.30789753801979947,0.018320809806367903
1.3,64,6.817130195790447,0.24369300576999514,0.014047805185754329
1.4,64,6.330192324662558,0.21805666017172318,0.012258208889969384
1.5,64,5.9081795030183875,0.233844867472929,0.016535189198881937
1.6,64,5.538918284079737,0.19409311859698974,0.009680888758366257
1.7,64,5.213099561486812,0.1840741612579115,0.0103341819756601
1.8,64,4.923482919181989,0.17930563218006507,0.010732243754170303
1.9,64,4.6643522392250425,0.16357483729576242,0.0074681159302275235
2.0,64,4.43113462726379,0.17739711170835998,0.010665911578465918
2.1,64,4.220128216441705,0.1513129710221404,0.008359026743692068
2.2,64,4.028304206603446,0.162589299587998,0.009000850554416254
2.3,64,3.8531605454467743,0.15240189342492566,0.009754494651561942
2.4,64,3.6926121893864923,0.14899778535931918,0.008191078679740775
2.5,64,3.544907701811032,0.12537959275466415,0.006332615339589013
3.0,16,2.9540897515091937,0.11976384105037624,0.010812489799296228
4.0,16,2.215567313631895,0.1076524300956711,0.00964709608177513
8.0,16,1.1077836568159476,0.07457072158557373,0.0038118445885307398
