matrix_size,lesion_sigma_px,sigma,n_pairs,dprime_analytic,h0_bottleneck_normalized,h0_bottleneck_normalized_se,h1_bottleneck_normalized,h1_bottleneck_normalized_se
64,3.0,0.25,16,21.269446210866192,0.7275958932510966,0.05127729377445313,0.7460828609249703,0.05324095725646211
64,3.0,0.35,16,15.19246157919014,0.7423011884580084,0.04432823966638929,0.7782961804287952,0.05591428446694539
64,3.0,0.5,64,10.634723105433096,0.6411385483809356,0.02303102674700857,0.5215113878026116,0.02884392398112406
64,3.0,0.65,64,8.180556234948535,0.46236697864540943,0.020551913738139502,0.4241267092169325,0.022001596617337166
64,3.0,0.8,64,6.646701940895685,0.3905242240511573,0.02109921816596746,0.32722342480470845,0.01826783727084355
64,3.0,1.0,64,5.317361552716548,0.2896633686227543,0.01720015302318837,0.2851148929098445,0.015440946063440333
64,3.0,1.25,64,4.253889242173239,0.25635307581755595,0.014621553571429859,0.22256931915653683,0.011196958178005643
64,3.0,1.6,64,3.3233509704478426,0.20286281970314513,0.010851362854761229,0.19473006589362468,0.01092860161740663
64,3.0,2.0,64,2.658680776358274,0.1805589242350397,0.009545315144760208,0.18179328311981294,0.009047185230605262
64,3.0,2.5,64,2.1269446210866194,0.15162066012159833,0.006609291992242508,0.15166086021962694,0.00689872944336888
64,3.0,3.2,64,1.6616754852239213,0.1348955163256621,0.005536846881081866,0.1486450156533582,0.006109107937569227
64,3.0,4.0,64,1.329340388179137,0.1325780226069086,0.0051395939499763585,0.1230068911972809,0.003987813750409853
64,3.0,5.0,64,1.0634723105433097,0.11054970488060187,0.003816399502300313,0.11194297300753367,0.004382082610937196
64,3.0,6.5,16,0.8180556234948535,0.09503458898549111,0.0059499768036139055,0.10391853649918965,0.005249118662732865
64,3.0,8.0,16,0.6646701940895685,0.08462099630477807,0.005052545975092268,0.0957222388653999,0.004683473550471562
64,3.0,12.0,16,0.443113462726379,0.06631729276737383,0.0020996428497117763,0.07131013933670974,0.0022130370002584
64,3.0,20.0,16,0.2658680776358274,0.04513128069676577,0.0009535312332217407,0.045188966729083915,0.000733388556736401
64,5.0,0.25,16,35.449077018110316,0.9721030684698215,0.052414327297754394,1.1081043318803183,0.06560438633145553
64,5.0,0.35,16,25.320769298650227,0.9422395824438466,0.0560432284385159,0.988461713218845,0.04008148054093366
64,5.0,0.5,64,17.724538509055158,0.8888484948467503,0.019457553806996333,0.7908905613057785,0.02504876582066349
64,5.0,0.65,64,13.63426039158089,0.7211916937272097,0.022190173957511126,0.627460581571005,0.018444498464581276
64,5.0,0.8,64,11.077836568159473,0.6045122950076807,0.020362494889989136,0.44910666788080794,0.014530991672497608
64,5.0,1.0,64,8.862269254527579,0.4629220752731602,0.019748289816426373,0.3804286828302359,0.013830926022638253
64,5.0,1.25,64,7.0898154036220635,0.36398223834001725,0.01495883921239754,0.33665056636664725,0.014746156614943455
64,5.0,1.6,64,5.538918284079736,0.2797575013826183,0.012544273584957357,0.2813156224042352,0.012474981647107693
64,5.0,2.0,64,4.4311346272637895,0.22326664506606714,0.009493605212761888,0.243253942068723,0.008751292435771886
64,5.0,2.5,64,3.5449077018110318,0.2061449464973349,0.00856973406132604,0.20904289112643176,0.007801836786444932
