sigma,n_pairs,dprime_analytic,h0_bottleneck_normalized,h0_standard_error
0.5,16,17.724538509055158,0.8159175116098594,0.0362802984032886
0.75,16,11.816359006036771,0.6855085282249425,0.03759203822714329
1.0,64,8.862269254527579,0.47372736603111054,0.017551832079106818
1.1,64,8.05660841320689,0.4264607264528377,0.01808972082266501
1.2,64,7.385224378772983,0.38267749916774835,0.01609393679185875
1.3,64,6.817130195790445,0.3603699894683407,0.016302591417464023
1.4,64,6.330192324662557,0.3229643093154239,0.015602413961919977
1.5,64,5.908179503018386,0.3053404217336295,0.012115053661024484
1.6,64,5.538918284079736,0.2900776769536954,0.013504755658067302
1.7,64,5.213099561486811,0.2504272054820829,0.01036156668295674
1.8,64,4.923482919181988,0.2639176949004339,0.010431064218432946
1.9,64,4.664352239225042,0.2420756993744526,0.009570851725048351
2.0,64,4.4311346272637895,0.24053088940549158,0.009446495155203792
2.1,64,4.220128216441704,0.2297143030596756,0.00852303143491904
2.2,64,4.028304206603445,0.2404460139285641,0.011460690891690006
2.3,64,3.853160545446774,0.22351761103256096,0.008684020108851623
2.4,64,3.6926121893864914,0.20980568924065635,0.008197979498447206
2.5,64,3.5449077018110318,0.19390858819790016,0.0063228206049861495
3.0,16,2.954089751509193,0.19233340963479278,0.012000201283567519
4.0,16,2.2155673136318947,0.1500341442342601,0.011741423707424262
8.0,16,1.1077836568159474,0.09285308302060695,0.003480117622502755
