sigma_index,sigma,dprime_analytic,energy_distance,permutation_p,fdr_significant
0,0.25,35.44907701811032,4.977583798376216,0.001,1
1,0.26131427798810974,33.91421748080229,3.331936437354784,0.001,1
2,0.2731406075217884,32.44581365962085,2.605554411009244,0.001,1
3,0.2855021625751592,31.040988182338424,6.163547142183326,0.001,1
4,0.29842316590948664,29.696988260005106,4.0803002809725015,0.001,1
5,0.31192893653825365,28.411180292793226,2.468044035714982,0.001,1
6,0.3260459393403706,27.18104470939585,2.52614849950659,0.001,1
7,0.340801836918736,26.00417102986679,3.94888657284627,0.001,1
8,0.3562255438057641,24.878253142227866,4.946695962486373,0.001,1
9,0.3723472831221001,23.801084783587548,2.9702017856953518,0.001,1
10,0.38919864579954344,22.77055521691637,2.6433544358089947,0.001,1
11,0.4068126524842311,21.784645095007463,2.6800737191825377,0.001,1
12,0.4252238182413786,20.84142250351768,2.740008303562149,0.001,1
13,0.4444682201883723,19.939039175335456,1.569336402056031,0.001,1
14,0.46458356818873886,19.075726868857423,1.9343131413874843,0.002,1
15,0.4856092787455202,18.24979390307693,3.3528722267757445,0.001,1
16,0.5075865522388494,17.45962184269484,2.293887283998629,0.001,1
17,0.5305584536590756,16.703662326757055,1.2570965866352068,0.002,1
18,0.5545699969936373,15.9804340346044,2.0822040990987105,0.001,1
19,0.5796682334330422,15.28851978318951,1.6228632338243116,0.002,1
20,0.605902343568794,14.62656375007297,1.9612349785670844,0.001,1
21,0.6333237337639321,13.99326881665695,2.419097247900339,0.001,1
22,0.6619861368850231,13.38739402645047,0.860336047968751,0.011,1
23,0.6919457175929912,12.807752153385605,1.8491889534343642,0.001,1
24,0.723261182399108,12.25320737541978,2.1097686290519775,0.001,1
25,0.755993894701798,11.722673048865435,2.1068024465973494,0.001,1
26,0.7902079950296776,11.215109579085874,0.9076734246697811,0.014,1
27,0.8259705267264483,10.729522383384824,1.6737420013461133,0.001,1
28,0.8633515673239223,10.264959942097994,1.857253789995525,0.001,1
29,0.9024243658606147,9.820511934067632,1.6916724510096515,0.001,1
30,0.9432654864149774,9.395307452846568,1.868856566537417,0.001,1
31,0.9859549581345319,8.988513300136312,2.3565658218311114,0.001,1
32,1.0305764320548887,8.59933235311515,0.9022995610428808,0.014,1
33,1.0772173450159421,8.227002002457011,1.0573065069655954,0.009,1
34,1.1259690909964377,7.870792657980359,2.3108257366003713,0.001,1
35,1.1769272002026496,7.530006318998854,0.05670276460882917,0.35,0
36,1.2301915262620915,7.203975206572411,0.576053161544273,0.049,0
37,1.2858664418890768,6.8920604549784725,1.249299336015497,0.004,1
38,1.3440610434055358,6.593650859839421,2.2232272634149126,0.001,1
39,1.404889364517852,6.308161680453072,0.22712178993167242,0.21,0
40,1.4684705997686274,6.03503349397933,0.6512931821319867,0.04,0
41,1.5349293381012217,5.773731099237843,0.4909045103034302,0.065,0
42,1.6043958069947517,5.523742467968549,0.4533121007212415,0.076,0
43,1.677006127647937,5.28457774150011,1.0144991594729262,0.008,1
44,1.752902581711826,5.055768270860201,0.04757898445190989,0.371,0
45,1.8322338900940776,4.836865698446687,0.18603926621474898,0.239,0
46,1.9151555043811181,4.627441079460239,0.0,1.0,0
47,2.0018299114492244,4.427084041376793,0.5586555988686897,0.066,0
48,2.092426951861423,4.235401979812822,0.0,1.0,0
49,2.1871241526741168,4.052019289207706,0.0,1.0,0
50,2.2861070753055728,3.876576626815699,0.3469131828766976,0.131,0
51,2.38956967914794,3.7087302085652682,0.0,1.0,0
52,2.4977147016352923,3.548151135406024,0.03335364967220045,0.395,0
53,2.610754055512453,3.394524748823208,0.0,1.0,0
54,2.728909244083066,3.247550014256839,0.0,1.0,0
55,2.852411795250579,3.106938931217344,0.5281927392728321,0.064,0
56,2.981503715202692,2.9724159689417307,0.14641784917978384,0.263,0
57,3.1164379626282335,2.8437175264845083,0.0,1.0,0
58,3.2574789443957304,2.720591416185363,0.23282884846238971,0.208,0
59,3.404903033664961,2.6027963695014344,0.2140524595682649,0.22,0
60,3.5589991114467354,2.4901015642358684,0.13942476957272731,0.273,0
61,3.7200691326721116,2.382286172236226,0.6474057996230798,0.057,0
62,3.888428717880266,2.2791389266764672,0.0,1.0,0
63,4.064407771684452,2.1804577080745773,0.8354490236613827,0.014,1
64,4.248351129227939,2.086049148234632,0.2805179600073586,0.161,0
65,4.440619231896679,1.9957282513372185,0.22324282309175913,0.213,0
66,4.641588833612781,1.9093180314357212,0.04118027962559978,0.384,0
67,4.851653739092786,1.8266491656481534,0.0,1.0,0
68,5.071225575517377,1.747559662364937,0.0,1.0,0
69,5.300734599124639,1.6718945438224906,0.0,1.0,0
70,5.540630538307391,1.599505542420614,0.0,1.0,0
71,5.791383474866671,1.5302508101885979,0.0,1.0,0
72,6.053484765148217,1.46399464083075,0.262297473234959,0.173,0
73,6.327448002866914,1.4006072038066784,0.7115785336784697,0.027,0
74,6.6138100255059,1.3399642899252604,0.19262815585840087,0.244,0
75,6.913131966262387,1.2819470679537748,0.0,1.0,0
76,7.226000353601509,1.2264418517652769,0.0,1.0,0
77,7.553028260572817,1.1733398775679242,0.0,1.0,0
78,7.894856506141497,1.1225370907797403,0.0,1.0,0
79,8.252154910888384,1.073933942131185,0.21459623622456547,0.232,0
80,8.62562360953933,1.0274351925959924,0.4141973382302382,0.11,0
81,9.015994422895853,0.9829497267680323,0.0,1.0,0
82,9.424032291855417,0.9403903743185036,0.0,1.0,0
83,9.850536776331317,0.8996737391836019,0.0,1.0,0
84,10.29634362200936,0.8607200361479471,0.0,1.0,0
85,10.76232639801142,0.8234529345035553,0.15196429922998078,0.26,0
86,11.249398208674913,0.787799408478001,0.12064410303705841,0.284,0
87,11.758513482802481,0.7536895941386784,0.0,1.0,0
88,12.290669843887937,0.7210566524927626,0.0,1.0,0
89,12.84691006498324,0.6898366385146125,0.0,1.0,0
90,13.428324112037103,0.6599683758439725,0.0,1.0,0
91,14.036051279709202,0.631393336909438,0.0,1.0,0
92,14.671282423845177,0.6040555282422871,0.0,1.0,0
93,15.33526229498699,0.5779013807559461,0.6998988887033661,0.033,0
94,16.029291977491233,0.5528796447760899,0.0,1.0,0
95,16.754731439034888,0.5289412896156853,0.016124594219753874,0.426,0
96,17.513002195504342,0.5060394074981936,0.0,1.0,0
97,18.30559009648961,0.4841291216406655,0.0,1.0,0
98,19.1340482368419,0.4631674983166192,0.1558505868498372,0.258,0
99,20.0,0.443113462726379,0.0,1.0,0
