sigma,n_pairs,dprime_analytic,h0_bottleneck_normalized,h0_standard_error
0.5,16,17.72453850905516,0.8368112497592052,0.02723780915557813
0.75,16,11.816359006036775,0.5190485682143557,0.0454931161786765
1.0,64,8.86226925452758,0.3243895380384545,0.018078825497064032
1.1,64,8.056608413206892,0.29271742276589685,0.016832428051533867
1.2,64,7.3852243787729845,0.2642918007826104,0.01600249983011311
1.3,64,6.817130195790447,0.23587115512026796,0.012499179756657737
1.4,64,6.330192324662558,0.21923587896185553,0.009718477495743998
1.5,64,5.9081795030183875,0.21954180476398555,0.01178439407056968
1.6,64,5.538918284079737,0.19791207578892617,0.008505043308092115
1.7,64,5.213099561486812,0.18206834586790618,0.011072090541731356
1.8,64,4.923482919181989,0.17611094513304387,0.010614080013396992
1.9,64,4.6643522392250425,0.16782207924624337,0.007307343904771158
2.0,64,4.43113462726379,0.1699496137669822,0.010105313849179693
2.1,64,4.220128216441705,0.15498489611443647,0.007984770283558955
2.2,64,4.028304206603446,0.1573589892042236,0.009350522136156326
2.3,64,3.8531605454467743,0.14107630254442832,0.007973427817896813
2.4,64,3.6926121893864923,0.13653024324510205,0.008036296025748655
2.5,64,3.544907701811032,0.1493782116099599,0.007792808851639176
3.0,16,2.9540897515091937,0.11794857543827708,0.01053498513127102
4.0,16,2.215567313631895,0.10141162599034009,0.009164777174822844
8.0,16,1.1077836568159476,0.07616938629951958,0.003797237310298689
