sigma,realization,dprime_analytic,h0_bottleneck_normalized,h1_bottleneck_normalized
0.5,0,17.72453850905516,1.0107314293474174,0.7097823241873331
0.5,1,17.72453850905516,0.8929865477014514,0.39958987649473715
0.5,2,17.72453850905516,0.6421441173766297,0.736650362839133
0.5,3,17.72453850905516,0.6969063280667938,0.5309077973664067
0.5,4,17.72453850905516,0.9254338247880838,0.6751050457945496
0.5,5,17.72453850905516,0.9616799387261307,0.45447254501393897
0.5,6,17.72453850905516,0.7249810568289208,0.5636522150261869
0.5,7,17.72453850905516,0.8607755821780063,0.7227575479804869
0.5,8,17.72453850905516,0.9369568396244448,0.595896431301975
0.5,9,17.72453850905516,0.8503041288108357,0.5407327497453788
0.5,10,17.72453850905516,0.891352232895443,0.5721499263718555
0.5,11,17.72453850905516,0.8417305688612654,0.41012106641562485
0.5,12,17.72453850905516,0.93169952056923,0.6748666650745969
0.5,13,17.72453850905516,0.7462442521618939,0.8965718493117173
0.5,14,17.72453850905516,0.7537363256698926,0.856689779977059
0.5,15,17.72453850905516,0.7213173025408446,0.3861533449950082
0.75,0,11.816359006036775,0.5384972001628746,0.28725535936315577
0.75,1,11.816359006036775,0.4777954789035981,0.4262605922571958
0.75,2,11.816359006036775,0.3868703561513831,0.22398253635767143
0.75,3,11.816359006036775,0.6307075478176171,0.22360767198689432
0.75,4,11.816359006036775,0.28393965339882615,0.16629014583876822
0.75,5,11.816359006036775,0.37832110483139375,0.4875029611565773
0.75,6,11.816359006036775,0.47151826269214075,0.3564116381775882
0.75,7,11.816359006036775,0.4575869778480383,0.5678366423545755
0.75,8,11.816359006036775,0.45552984794655554,0.295030804126507
0.75,9,11.816359006036775,0.4412047489818556,0.3272886979119625
0.75,10,11.816359006036775,0.9140565878222754,0.36638107750065546
0.75,11,11.816359006036775,0.32353055282683957,0.3076294050073742
0.75,12,11.816359006036775,0.5445724417146603,0.347188781058259
0.75,13,11.816359006036775,0.8396235946122873,0.3934519046323492
0.75,14,11.816359006036775,0.7652349880487374,0.3411999620450263
0.75,15,11.816359006036775,0.3957877476706102,0.5746214227941873
1.0,0,8.86226925452758,0.3217271133278765,0.24639130013152089
1.0,1,8.86226925452758,0.1189667503282695,0.34916639608792116
1.0,2,8.86226925452758,0.16518686637533253,0.35100268027441817
1.0,3,8.86226925452758,0.15755671298388252,0.2034144655384173
1.0,4,8.86226925452758,0.43165497398583647,0.3604907763311122
1.0,5,8.86226925452758,0.3753603230118354,0.16535826625657724
1.0,6,8.86226925452758,0.2845076815401911,0.14123308159020564
1.0,7,8.86226925452758,0.2577523655240609,0.21489882253556136
1.0,8,8.86226925452758,0.20174636361615322,0.24992312864607846
1.0,9,8.86226925452758,0.2764929660512263,0.37909099450654266
1.0,10,8.86226925452758,0.29285286680577227,0.42749045274535613
1.0,11,8.86226925452758,0.5007281477680091,0.2619984669495598
1.0,12,8.86226925452758,0.3879374266424268,0.23892769857092205
1.0,13,8.86226925452758,0.24782210671258503,0.21938496321869252
1.0,14,8.86226925452758,0.12577181832996814,0.2902492630897698
1.0,15,8.86226925452758,0.1711166096799292,0.20573390639267508
1.0,16,8.86226925452758,0.11939609869188807,0.18450243653236897
1.0,17,8.86226925452758,0.18009781424206517,0.19987175713331312
1.0,18,8.86226925452758,0.49599573415354714,0.18882696014828548
1.0,19,8.86226925452758,0.32155463833960196,0.20892802675680244
1.0,20,8.86226925452758,0.4752151863954739,0.5000888778856902
1.0,21,8.86226925452758,0.3523704393518082,0.2885076922549286
1.0,22,8.86226925452758,0.4142670915896691,0.21861555919846024
1.0,23,8.86226925452758,0.40721574520191317,0.1647441326798037
1.0,24,8.86226925452758,0.17871096317466117,0.38835881316767923
1.0,25,8.86226925452758,0.8780564718907128,0.2773903084414585
1.0,26,8.86226925452758,0.3931435068999027,0.18053526216566657
1.0,27,8.86226925452758,0.36886165660920234,0.24664431568752881
1.0,28,8.86226925452758,0.36809204910879567,0.20144119483767103
1.0,29,8.86226925452758,0.2546269320532315,0.25305967315935546
1.0,30,8.86226925452758,0.1754977227901301,0.17275832786845502
1.0,31,8.86226925452758,0.17289842279388112,0.24030810596401914
1.0,32,8.86226925452758,0.20167209379216855,0.22120242538979923
1.0,33,8.86226925452758,0.227577332413756,0.19580480093755792
1.0,34,8.86226925452758,0.43328557172505056,0.25444355877607616
1.0,35,8.86226925452758,0.29068310978027045,0.265426654075545
1.0,36,8.86226925452758,0.20719041906050623,0.23218592130960686
1.0,37,8.86226925452758,0.35385622868563105,0.2089831050896323
1.0,38,8.86226925452758,0.3946688752962757,0.4315383888564449
1.0,39,8.86226925452758,0.6342174496301862,0.6538003892976922
1.0,40,8.86226925452758,0.17825892193461024,0.247310772301728
1.0,41,8.86226925452758,0.22847605845265112,0.22503874756998568
1.0,42,8.86226925452758,0.2165274534749465,0.3576970909090332
1.0,43,8.86226925452758,0.6430044365995424,0.4463278184106577
1.0,44,8.86226925452758,0.16466614595758763,0.3574516996829745
1.0,45,8.86226925452758,0.3485026480444239,0.1771736262011857
1.0,46,8.86226925452758,0.3327428808121613,0.23397403166239644
1.0,47,8.86226925452758,0.4895246452546299,0.10022848245633234
1.0,48,8.86226925452758,0.38689369888800096,0.28972591301857736
1.0,49,8.86226925452758,0.4885226545796178,0.4448376282952796
1.0,50,8.86226925452758,0.3339122586760138,0.3176229032595035
1.0,51,8.86226925452758,0.29507152305762563,0.24791871279749128
1.0,52,8.86226925452758,0.43633358271540834,0.38681163857189593
1.0,53,8.86226925452758,0.314245924631966,0.6907583822138925
1.0,54,8.86226925452758,0.294230334662313,0.3179235674194061
1.0,55,8.86226925452758,0.435462101933937,0.20926812733434275
1.0,56,8.86226925452758,0.18520174050710247,0.35038793064858276
1.0,57,8.86226925452758,0.34075171054612713,0.3679325591745646
1.0,58,8.86226925452758,0.3158010005568568,0.23890533847971654
1.0,59,8.86226925452758,0.4497777888960589,0.37477389538044514
1.0,60,8.86226925452758,0.14791069913147925,0.8386589810411351
1.0,61,8.86226925452758,0.5351287428164859,0.4270306259081805
1.0,62,8.86226925452758,0.14687748488530988,0.30274157998737883
1.0,63,8.86226925452758,0.43677335109254906,0.17700243637819996
1.1,0,8.056608413206892,0.3940454532322995,0.22590958047276918
1.1,1,8.056608413206892,0.27848628400200404,0.45844873337412156
1.1,2,8.056608413206892,0.18246193232041866,0.31345897996638283
1.1,3,8.056608413206892,0.24338554372089782,0.1682434595674619
1.1,4,8.056608413206892,0.47749761250395184,0.15231147586936486
1.1,5,8.056608413206892,0.248238769085177,0.2466197095981343
1.1,6,8.056608413206892,0.3863945352300143,0.2562832101822284
1.1,7,8.056608413206892,0.2153612798599968,0.20129975195030095
1.1,8,8.056608413206892,0.22154437518079048,0.22493704046412819
1.1,9,8.056608413206892,0.2578769486733718,0.254917833371638
1.1,10,8.056608413206892,0.25159203195089713,0.40845601462915854
1.1,11,8.056608413206892,0.2505460870296161,0.3040466647441497
1.1,12,8.056608413206892,0.29026934899687395,0.170827896112764
1.1,13,8.056608413206892,0.3886123095193394,0.23483349824847266
1.1,14,8.056608413206892,0.41419609902922705,0.17063506995472685
1.1,15,8.056608413206892,0.4691458548864984,0.3885425223460392
1.1,16,8.056608413206892,0.25442020966435724,0.20489396918732547
1.1,17,8.056608413206892,0.6215357684805368,0.19875560180553975
1.1,18,8.056608413206892,0.21192570836079025,0.22588125964281874
1.1,19,8.056608413206892,0.15126560524531196,0.438118299869909
1.1,20,8.056608413206892,0.1385677412431674,0.16512139808413256
1.1,21,8.056608413206892,0.19714369814705893,0.33112006338749816
1.1,22,8.056608413206892,0.1901070503735246,0.20059630543721949
1.1,23,8.056608413206892,0.20193199125514724,0.19294907427693933
1.1,24,8.056608413206892,0.18988690250270981,0.1899483683914777
1.1,25,8.056608413206892,0.25793682627584535,0.3210690266207471
1.1,26,8.056608413206892,0.2577508580012864,0.24425286466494292
1.1,27,8.056608413206892,0.18914070083063703,0.2595077695346213
1.1,28,8.056608413206892,0.5286047855092936,0.16278054684931687
1.1,29,8.056608413206892,0.43604808578699294,0.12261960062034115
1.1,30,8.056608413206892,0.20274391979461084,0.30619543213390715
1.1,31,8.056608413206892,0.4410617355924068,0.382023181721766
1.1,32,8.056608413206892,0.24252331854311152,0.20075211764800904
1.1,33,8.056608413206892,0.19910228307076433,0.1720515912895013
1.1,34,8.056608413206892,0.14962718883128023,0.07943067800362502
1.1,35,8.056608413206892,0.35102583946880145,0.1744675446727368
1.1,36,8.056608413206892,0.4043431926339457,0.1576839707456233
1.1,37,8.056608413206892,0.3072722519429661,0.6298424400331243
1.1,38,8.056608413206892,0.39052588671174215,0.2815129833966326
1.1,39,8.056608413206892,0.2255531507777836,0.20487013628308967
1.1,40,8.056608413206892,0.6051441702952884,0.668173850337775
1.1,41,8.056608413206892,0.12519329253953876,0.14088135646642325
1.1,42,8.056608413206892,0.192179956817363,0.1852537272956622
1.1,43,8.056608413206892,0.20711702151148256,0.3093106632449775
1.1,44,8.056608413206892,0.18537628988869675,0.11992076093957661
1.1,45,8.056608413206892,0.16976103591035666,0.3675707442173183
1.1,46,8.056608413206892,0.45447188504013714,0.4249360822109021
1.1,47,8.056608413206892,0.7756306416616651,0.4274987207776449
1.1,48,8.056608413206892,0.299566814659149,0.2434036368126826
1.1,49,8.056608413206892,0.3708651805651414,0.35039558521169384
1.1,50,8.056608413206892,0.21860101892366327,0.2373154694613794
1.1,51,8.056608413206892,0.1365199343010431,0.1895724312561196
1.1,52,8.056608413206892,0.16368462015739466,0.3184222345373283
1.1,53,8.056608413206892,0.25992303660957233,0.12257699757167434
