seed,breakpoint_sigma,within_bootstrap_variance,ci_low,ci_high,ci_width
20260906,1.3,0.00477831663326653,1.2,1.5,0.30000000000000004
20260916,1.3,0.009257875751503001,1.0,1.4,0.3999999999999999
20260926,1.4,0.005885811623246496,1.3,1.6,0.30000000000000004
20261006,1.3,0.005683807615230456,1.1475000000000002,1.5,0.3524999999999998
20261016,1.2,0.006750460921843687,1.0,1.3,0.30000000000000004
