sigma,n_pairs,dprime_analytic,h0_bottleneck_normalized,h0_standard_error
0.5,16,17.724538509055158,0.8159175116098594,0.0362802984032886
0.75,16,11.816359006036771,0.6855085282249425,0.03759203822714329
0.8,64,11.077836568159473,0.5913416324777756,0.01918691848581793
0.9,64,9.846965838363976,0.5214362504278418,0.020292557743544208
1.0,64,8.862269254527579,0.45924262466632776,0.018660603992801606
1.1,64,8.05660841320689,0.42947559513563766,0.018786263045865125
1.2,64,7.385224378772983,0.3782096556435106,0.016410194321367824
1.3,64,6.817130195790445,0.3487180593903046,0.013197702369851912
1.4,64,6.330192324662557,0.3249755320076566,0.01502031565459792
1.5,64,5.908179503018386,0.273087667443878,0.011950741853407654
1.6,64,5.538918284079736,0.289568075250641,0.01153536515330678
1.7,64,5.213099561486811,0.2661126231683715,0.01069356127248554
1.8,64,4.923482919181988,0.2612943293844923,0.010173031809225665
1.9,64,4.664352239225042,0.24695143751440324,0.00951525032400896
2.0,64,4.4311346272637895,0.25680380605711145,0.012511517494727807
2.1,64,4.220128216441704,0.24027629411114504,0.009391201869154273
2.2,64,4.028304206603445,0.22613604433464257,0.009126273282827902
2.3,64,3.853160545446774,0.20735742858212075,0.00699477990800202
2.4,64,3.6926121893864914,0.23066441158447998,0.00859233143183393
2.5,64,3.5449077018110318,0.20679676205753159,0.008135962637675683
3.0,16,2.954089751509193,0.17042469839663937,0.010075657593879675
4.0,16,2.2155673136318947,0.14540473856698943,0.008085256804722484
8.0,16,1.1077836568159474,0.09683557844573665,0.002899456737997262
