matrix_size,lesion_sigma_px,sigma,sigma_index,realization,dprime_analytic,h0_bottleneck_normalized,h1_bottleneck_normalized
128,3.0,0.25,0,0,21.269446210866192,0.4220785344944069,0.8005828905564292
128,3.0,0.25,0,1,21.269446210866192,0.5778025029142962,0.6046814888975485
128,3.0,0.25,0,2,21.269446210866192,0.980341390129877,0.847327468643078
128,3.0,0.25,0,3,21.269446210866192,0.7778755177619017,0.9990598420433228
128,3.0,0.25,0,4,21.269446210866192,0.7486309981916331,0.7998689103274474
128,3.0,0.25,0,5,21.269446210866192,0.7848548984373173,0.8321131038686056
128,3.0,0.25,0,6,21.269446210866192,0.6025548260670235,1.2573050958490977
128,3.0,0.25,0,7,21.269446210866192,0.6406751937170496,0.7096663118528614
128,3.0,0.25,0,8,21.269446210866192,0.9411149207809621,0.8474106573493367
128,3.0,0.25,0,9,21.269446210866192,0.7611083695023828,0.8875038994219351
128,3.0,0.25,0,10,21.269446210866192,0.7173141351051529,1.0930011271098325
128,3.0,0.25,0,11,21.269446210866192,0.7008379686014603,0.640271064686873
128,3.0,0.25,0,12,21.269446210866192,0.7340236784773572,0.8896256796778841
128,3.0,0.25,0,13,21.269446210866192,0.7822244499741957,0.5498332478701828
128,3.0,0.25,0,14,21.269446210866192,0.8747782962251559,0.9976253206145904
128,3.0,0.25,0,15,21.269446210866192,1.0576597840658475,0.48196133499927196
128,3.0,0.35,1,0,15.19246157919014,0.493870716143247,0.5300717205829
128,3.0,0.35,1,1,15.19246157919014,0.5393758888344979,0.49640337070034835
128,3.0,0.35,1,2,15.19246157919014,0.4569240088343656,0.6530341557951597
128,3.0,0.35,1,3,15.19246157919014,0.5738799251860834,0.7106003864916441
128,3.0,0.35,1,4,15.19246157919014,0.914784952371476,0.7494176689167076
128,3.0,0.35,1,5,15.19246157919014,0.561580077457361,0.6056781419055213
128,3.0,0.35,1,6,15.19246157919014,0.6490940587226226,0.5542886174979463
128,3.0,0.35,1,7,15.19246157919014,0.38240758702817945,0.41860471388683407
128,3.0,0.35,1,8,15.19246157919014,0.44817191072464707,0.7435694582813388
128,3.0,0.35,1,9,15.19246157919014,0.7770291646132774,0.8948169373764262
128,3.0,0.35,1,10,15.19246157919014,0.4738771731153756,0.788405926281671
128,3.0,0.35,1,11,15.19246157919014,0.5396009404975503,0.5008820927522031
128,3.0,0.35,1,12,15.19246157919014,0.8713060912115539,0.5488208648467633
128,3.0,0.35,1,13,15.19246157919014,0.588351916244288,0.8588135253236128
128,3.0,0.35,1,14,15.19246157919014,0.4673239655621469,0.8686177713178705
128,3.0,0.35,1,15,15.19246157919014,0.6777932976315366,0.44596887938684654
128,3.0,0.5,2,0,10.634723105433096,0.47512176096187714,0.425879009168488
128,3.0,0.5,2,1,10.634723105433096,0.2272477471102217,0.4425939883769812
128,3.0,0.5,2,2,10.634723105433096,0.5807773696270052,0.24050532451242446
128,3.0,0.5,2,3,10.634723105433096,0.8313227327945705,0.30389275162544743
128,3.0,0.5,2,4,10.634723105433096,0.35029988368381637,0.47887806531137495
