matrix_size,lesion_sigma_px,sigma,sigma_index,realization,dprime_analytic,h0_bottleneck_normalized,h1_bottleneck_normalized
128,7.0,0.25,0,0,49.62870782535445,0.754913952797269,1.3008910797394417
128,7.0,0.25,0,1,49.62870782535445,0.8144932426387568,0.9982291604973135
128,7.0,0.25,0,2,49.62870782535445,1.0965988691533055,1.3322005261580983
128,7.0,0.25,0,3,49.62870782535445,0.8093796277680652,1.4341333990793883
128,7.0,0.25,0,4,49.62870782535445,1.2735356582179764,1.1021543371262073
128,7.0,0.25,0,5,49.62870782535445,0.9978029843777164,1.011668101281714
128,7.0,0.25,0,6,49.62870782535445,1.3786893381881327,1.6441270229031455
128,7.0,0.25,0,7,49.62870782535445,1.660329652009712,1.3011055106757912
128,7.0,0.25,0,8,49.62870782535445,1.1306985366684967,1.3801337347776343
128,7.0,0.25,0,9,49.62870782535445,0.7844537055338472,1.404608115280459
128,7.0,0.25,0,10,49.62870782535445,1.2353852871690085,0.8416585376823764
128,7.0,0.25,0,11,49.62870782535445,1.4874073414763864,1.0799330381087089
128,7.0,0.25,0,12,49.62870782535445,1.1012783743075114,1.3652237984888242
128,7.0,0.25,0,13,49.62870782535445,1.1747988323354115,1.443513800440281
128,7.0,0.25,0,14,49.62870782535445,1.3084699240596773,1.2672106377899628
128,7.0,0.25,0,15,49.62870782535445,1.1644807104237267,1.0945290997362112
128,7.0,0.35,1,0,35.44907701811032,1.089343483867176,1.1891422621959828
128,7.0,0.35,1,1,35.44907701811032,1.4613697524830989,1.1327512486750293
128,7.0,0.35,1,2,35.44907701811032,1.0457721708465144,0.910117703607824
128,7.0,0.35,1,3,35.44907701811032,0.725220254141791,1.1449444072727777
128,7.0,0.35,1,4,35.44907701811032,0.9982381712785972,1.073916144634628
128,7.0,0.35,1,5,35.44907701811032,1.086723297231625,1.406694299442746
128,7.0,0.35,1,6,35.44907701811032,0.9481368314959829,1.0530832170876978
128,7.0,0.35,1,7,35.44907701811032,1.178470735362556,0.8476533061285152
128,7.0,0.35,1,8,35.44907701811032,1.4432904525231092,1.0930572264459049
128,7.0,0.35,1,9,35.44907701811032,0.9145046002020749,1.0738822923808526
128,7.0,0.35,1,10,35.44907701811032,1.0281632052819905,1.251773952226603
128,7.0,0.35,1,11,35.44907701811032,0.9510523423396727,1.1561777133057696
128,7.0,0.35,1,12,35.44907701811032,1.445983146389727,1.019620265418546
128,7.0,0.35,1,13,35.44907701811032,1.086296559947677,0.8367390235957793
128,7.0,0.35,1,14,35.44907701811032,1.3984009927448633,0.8450792921551145
128,7.0,0.35,1,15,35.44907701811032,0.6966187482488405,0.9756614501762954
128,7.0,0.5,2,0,24.814353912677223,0.6554026754327572,0.737677566744022
128,7.0,0.5,2,1,24.814353912677223,0.9154454008806922,0.5071036708165496
128,7.0,0.5,2,2,24.814353912677223,0.9610845656412571,0.7746033866600901
128,7.0,0.5,2,3,24.814353912677223,1.2987237994071212,0.8306896053990851
128,7.0,0.5,2,4,24.814353912677223,0.9748139174785,0.64011739232953
128,7.0,0.5,2,5,24.814353912677223,0.8730962413469715,0.9210043606067908
128,7.0,0.5,2,6,24.814353912677223,1.2257537743404714,0.6735906620886842
128,7.0,0.5,2,7,24.814353912677223,1.3505678736207154,0.8485598041823463
128,7.0,0.5,2,8,24.814353912677223,1.0582176094595979,0.8157667064700842
128,7.0,0.5,2,9,24.814353912677223,0.7981556000452821,0.730501602766956
128,7.0,0.5,2,10,24.814353912677223,0.8001360553216017,0.5784051082667412
128,7.0,0.5,2,11,24.814353912677223,0.9770144441068763,0.8514856994969391
128,7.0,0.5,2,12,24.814353912677223,0.9287375464327416,0.5338965816036154
128,7.0,0.5,2,13,24.814353912677223,0.9507911512816949,0.6864597021406064
128,7.0,0.5,2,14,24.814353912677223,1.1228923093388055,0.9521993270642601
128,7.0,0.5,2,15,24.814353912677223,0.9543299903803814,1.346609260391112
128,7.0,0.5,2,16,24.814353912677223,1.1013039019347173,0.7640310242921946
128,7.0,0.5,2,17,24.814353912677223,0.9460391787853863,0.7322419595006384
128,7.0,0.5,2,18,24.814353912677223,0.8521784457524196,0.9197032549481845
128,7.0,0.5,2,19,24.814353912677223,0.8282712385131152,0.8493951673251292
128,7.0,0.5,2,20,24.814353912677223,0.8831810250388907,0.8891056320864792
128,7.0,0.5,2,21,24.814353912677223,1.2158016409703616,0.8828962078200614
128,7.0,0.5,2,22,24.814353912677223,0.7839973676054858,1.2012567524116236
128,7.0,0.5,2,23,24.814353912677223,0.8990504936898325,0.8250872553721116
