matrix_size,lesion_sigma_px,sigma,sigma_index,realization,dprime_analytic,h0_bottleneck_normalized,h1_bottleneck_normalized
96,7.0,0.25,0,0,49.62870782535444,1.124957760486756,1.0017199260720362
96,7.0,0.25,0,1,49.62870782535444,1.2831808244805296,1.6115227656186681
96,7.0,0.25,0,2,49.62870782535444,1.0884421102561472,0.989715935495818
96,7.0,0.25,0,3,49.62870782535444,1.1549386116830362,1.2557325422538206
96,7.0,0.25,0,4,49.62870782535444,1.166475294947981,0.8804265044695696
96,7.0,0.25,0,5,49.62870782535444,1.075365199359331,1.0948142469896474
96,7.0,0.25,0,6,49.62870782535444,0.9410033151188983,1.5842493329443172
96,7.0,0.25,0,7,49.62870782535444,1.0369191176522312,1.0134932885516115
96,7.0,0.25,0,8,49.62870782535444,1.025706221916399,1.3671430177980044
96,7.0,0.25,0,9,49.62870782535444,0.8763182225667632,1.201594596132718
96,7.0,0.25,0,10,49.62870782535444,1.0941822844141398,1.3988672225422063
96,7.0,0.25,0,11,49.62870782535444,1.0461454845420541,1.0493233801322033
96,7.0,0.25,0,12,49.62870782535444,1.075068750732585,1.0451441404646369
96,7.0,0.25,0,13,49.62870782535444,1.5233947016906322,1.0883202885023908
96,7.0,0.25,0,14,49.62870782535444,0.9664722309009959,1.2785372328893416
96,7.0,0.25,0,15,49.62870782535444,1.359959937202698,1.1913761592568597
96,7.0,0.35,1,0,35.449077018110316,0.9401837420624155,1.2201722711036815
96,7.0,0.35,1,1,35.449077018110316,1.0577466433119356,0.9123946113313096
96,7.0,0.35,1,2,35.449077018110316,1.1502698991578357,1.65512741615092
96,7.0,0.35,1,3,35.449077018110316,1.1110367411593516,1.0042897659899002
96,7.0,0.35,1,4,35.449077018110316,1.1565383364830668,1.2516839274923328
96,7.0,0.35,1,5,35.449077018110316,1.321577733267728,1.019980245074114
96,7.0,0.35,1,6,35.449077018110316,0.903564867591205,1.280195577729574
96,7.0,0.35,1,7,35.449077018110316,1.2909186422585117,0.8479769014546559
96,7.0,0.35,1,8,35.449077018110316,1.0523922140948931,1.288109367172294
96,7.0,0.35,1,9,35.449077018110316,1.1748776465872979,1.3690270206785333
96,7.0,0.35,1,10,35.449077018110316,0.9447347772961632,1.2504647168186547
96,7.0,0.35,1,11,35.449077018110316,0.9926493137083576,0.9858942507729286
96,7.0,0.35,1,12,35.449077018110316,1.087161844930331,0.8107915060385815
96,7.0,0.35,1,13,35.449077018110316,1.1604087843588438,0.8170347498335754
96,7.0,0.35,1,14,35.449077018110316,1.028360630534966,0.7898312221933903
96,7.0,0.35,1,15,35.449077018110316,1.4069771632967487,1.7390836614495355
96,7.0,0.5,2,0,24.81435391267722,0.7853219260619718,0.7249503957674859
96,7.0,0.5,2,1,24.81435391267722,0.9238795425328294,0.8702758952174967
96,7.0,0.5,2,2,24.81435391267722,0.8730376078741158,0.9421504953700288
96,7.0,0.5,2,3,24.81435391267722,1.1073475796269254,0.7754137691707919
96,7.0,0.5,2,4,24.81435391267722,1.191319539099224,0.790807285717895
96,7.0,0.5,2,5,24.81435391267722,1.2010049140030796,0.8346635730203824
96,7.0,0.5,2,6,24.81435391267722,1.0332829683476477,0.5686754005122419
96,7.0,0.5,2,7,24.81435391267722,0.7362183123082019,0.5910130166235448
96,7.0,0.5,2,8,24.81435391267722,1.1844701000035909,0.5844655941565371
96,7.0,0.5,2,9,24.81435391267722,1.088233104540672,0.638669250447393
96,7.0,0.5,2,10,24.81435391267722,0.997308633074706,0.62742818273128
96,7.0,0.5,2,11,24.81435391267722,1.0808505393584003,0.9046844082722173
96,7.0,0.5,2,12,24.81435391267722,0.8933138261852313,0.6850909204262396
96,7.0,0.5,2,13,24.81435391267722,1.1079256509818123,0.8937257081902499
96,7.0,0.5,2,14,24.81435391267722,1.1099107721330599,0.9664963854094912
96,7.0,0.5,2,15,24.81435391267722,0.9288624166196847,0.7083834423994757
96,7.0,0.5,2,16,24.81435391267722,1.0202172104944622,0.619032632791785
96,7.0,0.5,2,17,24.81435391267722,0.9532217462453237,0.761649489915992
96,7.0,0.5,2,18,24.81435391267722,0.9665165189664593,0.6816625790918693
96,7.0,0.5,2,19,24.81435391267722,0.9941098499338684,0.7720317956901367
96,7.0,0.5,2,20,24.81435391267722,0.8552150521380593,0.7351189722857246
96,7.0,0.5,2,21,24.81435391267722,0.731740249008464,1.3203854767192502
96,7.0,0.5,2,22,24.81435391267722,1.2481380085702987,0.8648324423131128
96,7.0,0.5,2,23,24.81435391267722,1.0455514731799989,0.8868817373652468
96,7.0,0.5,2,24,24.81435391267722,1.0373373440029385,0.6173123305861947
96,7.0,0.5,2,25,24.81435391267722,0.9040134377622577,0.7559270017864721
96,7.0,0.5,2,26,24.81435391267722,0.9860775028794294,0.6530800074957868
96,7.0,0.5,2,27,24.81435391267722,0.9030058682928587,0.7528068762491887
96,7.0,0.5,2,28,24.81435391267722,1.0836916567491905,0.7862058911552745
96,7.0,0.5,2,29,24.81435391267722,1.1505861024779946,0.6487199149473548
96,7.0,0.5,2,30,24.81435391267722,1.1158802213166084,0.6362100439228651
96,7.0,0.5,2,31,24.81435391267722,1.0043510388428492,0.9731790472338413
96,7.0,0.5,2,32,24.81435391267722,1.0002007015104906,0.7473524386228965
96,7.0,0.5,2,33,24.81435391267722,1.0997075184319152,0.8670432183140218
96,7.0,0.5,2,34,24.81435391267722,1.071117027126363,0.611853669869894
96,7.0,0.5,2,35,24.81435391267722,0.9367250177944676,0.8923567282329232
96,7.0,0.5,2,36,24.81435391267722,1.0132744651178704,0.5970468645836441
96,7.0,0.5,2,37,24.81435391267722,0.9971168146205565,0.9556713914846836
96,7.0,0.5,2,38,24.81435391267722,1.3163663467143514,1.1688060819048438
96,7.0,0.5,2,39,24.81435391267722,1.236281573536286,0.8238299697951235
96,7.0,0.5,2,40,24.81435391267722,0.6837083289781589,0.8031037957405072
96,7.0,0.5,2,41,24.81435391267722,0.8163656029372774,0.78580610104123
96,7.0,0.5,2,42,24.81435391267722,1.2539241091523508,0.5827720287774343
96,7.0,0.5,2,43,24.81435391267722,1.1478600936635739,0.8048258071939041
96,7.0,0.5,2,44,24.81435391267722,1.226289837119019,0.9640077327737239
96,7.0,0.5,2,45,24.81435391267722,1.0177656485353603,1.062592806001779
96,7.0,0.5,2,46,24.81435391267722,0.8100312710177664,0.7026172822325101
96,7.0,0.5,2,47,24.81435391267722,0.8820825660149125,0.6515516877145873
96,7.0,0.5,2,48,24.81435391267722,0.9155707149439269,0.9824778393491388
96,7.0,0.5,2,49,24.81435391267722,1.0264097635054967,0.8101121901325723
96,7.0,0.5,2,50,24.81435391267722,0.8246742585777442,0.6391943315081108
96,7.0,0.5,2,51,24.81435391267722,0.9925165933481487,0.9537095901735053
96,7.0,0.5,2,52,24.81435391267722,1.0124259584026927,0.9044456658786998
96,7.0,0.5,2,53,24.81435391267722,1.0944442988265566,0.889422406754208
