matrix_size,lesion_sigma_px,sigma,sigma_index,realization,dprime_analytic,h0_bottleneck_normalized,h1_bottleneck_normalized
96,3.0,0.25,0,0,21.269446210866192,0.8198330219169481,0.6052031179607318
96,3.0,0.25,0,1,21.269446210866192,0.9584622219059014,0.7655150386586557
96,3.0,0.25,0,2,21.269446210866192,1.160753307839241,0.6158012608742329
96,3.0,0.25,0,3,21.269446210866192,0.5654647005126718,0.8333363619972194
96,3.0,0.25,0,4,21.269446210866192,0.7686053839832481,0.7355192199164153
96,3.0,0.25,0,5,21.269446210866192,0.3578582565072792,0.8960507107758489
96,3.0,0.25,0,6,21.269446210866192,0.7080862148724181,0.7228015663668044
96,3.0,0.25,0,7,21.269446210866192,0.8019598374631924,0.5445530054424077
96,3.0,0.25,0,8,21.269446210866192,0.6475998588978411,1.1263535108428404
96,3.0,0.25,0,9,21.269446210866192,0.7156702402447739,0.8877682590982302
96,3.0,0.25,0,10,21.269446210866192,0.5704659758014978,0.6150327564948106
96,3.0,0.25,0,11,21.269446210866192,0.7227875175206877,1.2205568622442842
96,3.0,0.25,0,12,21.269446210866192,0.7587429858473078,0.5283532514582514
96,3.0,0.25,0,13,21.269446210866192,0.591917301388339,0.47077096587779554
96,3.0,0.25,0,14,21.269446210866192,0.9362396940035702,1.0282033709430016
96,3.0,0.25,0,15,21.269446210866192,0.889399830037003,0.5986814622415964
96,3.0,0.35,1,0,15.19246157919014,0.6292537735621317,0.7373041331765253
96,3.0,0.35,1,1,15.19246157919014,0.530399818064332,0.8985072042481862
96,3.0,0.35,1,2,15.19246157919014,0.4011204857254601,0.6467410259178363
96,3.0,0.35,1,3,15.19246157919014,0.8268396943020767,0.646656051032966
96,3.0,0.35,1,4,15.19246157919014,0.9337745276907434,0.8098523330612684
96,3.0,0.35,1,5,15.19246157919014,0.8716220611020885,0.4347664306535225
96,3.0,0.35,1,6,15.19246157919014,0.9692424079364916,0.9201698370789319
96,3.0,0.35,1,7,15.19246157919014,0.4270703676628522,0.7094530643797992
96,3.0,0.35,1,8,15.19246157919014,0.7133229928324957,0.3549693862578186
96,3.0,0.35,1,9,15.19246157919014,0.6837974109794134,0.5889923507637851
96,3.0,0.35,1,10,15.19246157919014,0.44283213423136547,0.7374835328427379
96,3.0,0.35,1,11,15.19246157919014,0.8770623655683311,0.9991228701872311
96,3.0,0.35,1,12,15.19246157919014,1.179559133678616,1.0469708367531565
96,3.0,0.35,1,13,15.19246157919014,0.48709786771246666,0.7161795398278823
96,3.0,0.35,1,14,15.19246157919014,0.9054514268889527,0.4642695459607328
96,3.0,0.35,1,15,15.19246157919014,0.799452624747097,0.4647952122039852
96,3.0,0.5,2,0,10.634723105433096,0.5186308458139273,0.6659061676827837
96,3.0,0.5,2,1,10.634723105433096,0.26038127027192365,0.48363194506490226
96,3.0,0.5,2,2,10.634723105433096,0.2919121484974639,0.29472051006986516
96,3.0,0.5,2,3,10.634723105433096,0.5233579341891885,0.4296301638049729
96,3.0,0.5,2,4,10.634723105433096,1.1958435886445127,0.31959398932485417
96,3.0,0.5,2,5,10.634723105433096,0.9774202704278031,0.5511164609177186
96,3.0,0.5,2,6,10.634723105433096,0.4538550368601413,0.5833237161965681
96,3.0,0.5,2,7,10.634723105433096,0.5953074528508338,0.8822759919499321
96,3.0,0.5,2,8,10.634723105433096,0.8549267973777104,0.7169869804611568
96,3.0,0.5,2,9,10.634723105433096,0.2957826953667048,0.1287746641902319
96,3.0,0.5,2,10,10.634723105433096,0.5227435347539027,0.2893696265094652
96,3.0,0.5,2,11,10.634723105433096,0.6156590704700777,0.3805021427227763
96,3.0,0.5,2,12,10.634723105433096,0.3244903865636682,0.24898729694293206
96,3.0,0.5,2,13,10.634723105433096,0.6600801189616794,0.31121931214639836
96,3.0,0.5,2,14,10.634723105433096,0.6217820352222057,0.28317965647191706
96,3.0,0.5,2,15,10.634723105433096,0.5618225500154448,0.435002428985925
96,3.0,0.5,2,16,10.634723105433096,0.9430679132384765,0.5850796890212089
96,3.0,0.5,2,17,10.634723105433096,0.3993344452335154,0.3895815115716154
96,3.0,0.5,2,18,10.634723105433096,0.5647616266365436,0.33479576585147197
96,3.0,0.5,2,19,10.634723105433096,0.4636066845092559,0.9150976786654854
96,3.0,0.5,2,20,10.634723105433096,0.9308533010452249,0.4309662997175432
96,3.0,0.5,2,21,10.634723105433096,0.6366392647580131,0.8230701339105074
96,3.0,0.5,2,22,10.634723105433096,0.28211614499673704,0.5178781626897179
96,3.0,0.5,2,23,10.634723105433096,0.6094994523347125,0.40056542056559263
96,3.0,0.5,2,24,10.634723105433096,0.48330564023550415,0.37486191096126553
96,3.0,0.5,2,25,10.634723105433096,0.5513581724917068,0.6408059444010352
96,3.0,0.5,2,26,10.634723105433096,1.1627014109541298,0.25884440236179335
96,3.0,0.5,2,27,10.634723105433096,0.30984638839351286,0.5305762390194251
96,3.0,0.5,2,28,10.634723105433096,0.6134709095906796,0.5237274259909845
96,3.0,0.5,2,29,10.634723105433096,0.4553566250886278,0.4009609056654484
96,3.0,0.5,2,30,10.634723105433096,0.4220104663176967,0.4177666968330348
96,3.0,0.5,2,31,10.634723105433096,0.5189363423894606,0.5509331300547952
96,3.0,0.5,2,32,10.634723105433096,0.7887142192250911,0.6651020703334403
96,3.0,0.5,2,33,10.634723105433096,0.3698531085808984,0.3509156580561138
96,3.0,0.5,2,34,10.634723105433096,0.5896898373082876,0.4680712497633579
96,3.0,0.5,2,35,10.634723105433096,0.6054257348331091,0.5162605790333573
96,3.0,0.5,2,36,10.634723105433096,0.587742421012775,0.7763538126129639
96,3.0,0.5,2,37,10.634723105433096,0.4194238553395323,0.3367417660185752
96,3.0,0.5,2,38,10.634723105433096,0.5566192171010567,0.3687394246982867
96,3.0,0.5,2,39,10.634723105433096,0.23066579147673372,0.5835725136111642
96,3.0,0.5,2,40,10.634723105433096,0.4314046121195918,0.47744140176240074
96,3.0,0.5,2,41,10.634723105433096,0.520177824188676,0.36294752370321826
96,3.0,0.5,2,42,10.634723105433096,0.5650888550171531,0.33334166089860273
96,3.0,0.5,2,43,10.634723105433096,0.994526117020283,0.3180083654212006
96,3.0,0.5,2,44,10.634723105433096,0.7156494731302409,0.8214394330791386
96,3.0,0.5,2,45,10.634723105433096,0.41621235608780804,0.628853986655366
96,3.0,0.5,2,46,10.634723105433096,0.7766264190664542,0.37143027066611806
96,3.0,0.5,2,47,10.634723105433096,0.48377201136130665,0.4741567576313338
96,3.0,0.5,2,48,10.634723105433096,0.397170809524781,0.8040412163614215
96,3.0,0.5,2,49,10.634723105433096,0.6768999592035916,0.30925697464200275
96,3.0,0.5,2,50,10.634723105433096,0.7901688637402666,0.9837777402072272
96,3.0,0.5,2,51,10.634723105433096,0.7465048836511526,0.682105635053912
96,3.0,0.5,2,52,10.634723105433096,0.9121949791159525,0.39656693091273665
96,3.0,0.5,2,53,10.634723105433096,0.4029319922027242,0.569758967139031
96,3.0,0.5,2,54,10.634723105433096,0.6331566864139817,0.24186278850570164
96,3.0,0.5,2,55,10.634723105433096,0.5534321522826491,0.5407647504578189
96,3.0,0.5,2,56,10.634723105433096,0.5191737447494476,0.2987798568036036
96,3.0,0.5,2,57,10.634723105433096,0.5242652496414559,0.22182813547456165
96,3.0,0.5,2,58,10.634723105433096,0.22439924935310968,0.43149648317064654
96,3.0,0.5,2,59,10.634723105433096,0.48322985917023437,0.3111513940483641
96,3.0,0.5,2,60,10.634723105433096,0.29381039505025974,0.3340133990274464
96,3.0,0.5,2,61,10.634723105433096,0.5847968008228862,0.2799997120896759
96,3.0,0.5,2,62,10.634723105433096,0.6487216981250737,0.2943925309863664
96,3.0,0.5,2,63,10.634723105433096,0.5762936707347666,0.5507842910851712
96,3.0,0.65,3,0,8.180556234948535,0.2426351283957821,0.4040579262404355
96,3.0,0.65,3,1,8.180556234948535,0.5306629624962746,0.2266130972643624
96,3.0,0.65,3,2,8.180556234948535,0.6646086929881164,0.2565203346448939
96,3.0,0.65,3,3,8.180556234948535,0.591728789563041,0.6535278983494655
96,3.0,0.65,3,4,8.180556234948535,0.3705274385305041,0.4254408089366535
96,3.0,0.65,3,5,8.180556234948535,0.32904477885923505,0.2104705084671595
96,3.0,0.65,3,6,8.180556234948535,0.4762741990318106,0.2994360703785115
96,3.0,0.65,3,7,8.180556234948535,0.46492628113509776,0.23141331855057204
96,3.0,0.65,3,8,8.180556234948535,0.46418394367255555,0.7288973515387155
96,3.0,0.65,3,9,8.180556234948535,0.8421648207675059,0.1739796505239581
96,3.0,0.65,3,10,8.180556234948535,0.29074157115460086,0.5573890206609601
96,3.0,0.65,3,11,8.180556234948535,0.5624858480285932,0.3404079430196971
96,3.0,0.65,3,12,8.180556234948535,0.2334482907956299,0.2115276784056007
96,3.0,0.65,3,13,8.180556234948535,0.412016927795318,0.10605864995293679
96,3.0,0.65,3,14,8.180556234948535,0.4655292051967668,0.44997102397357897
96,3.0,0.65,3,15,8.180556234948535,0.6861566895786446,0.519590120165493
96,3.0,0.65,3,16,8.180556234948535,0.4171940337316211,0.1824373091418142
96,3.0,0.65,3,17,8.180556234948535,0.5292236428261519,0.5666000572084687
96,3.0,0.65,3,18,8.180556234948535,0.24694521240113884,0.3390357424787024
96,3.0,0.65,3,19,8.180556234948535,0.9805057098199836,0.9459515164070059
96,3.0,0.65,3,20,8.180556234948535,0.1943337640868788,0.43502637934807437
96,3.0,0.65,3,21,8.180556234948535,0.44873731468870715,0.2907672404346852
96,3.0,0.65,3,22,8.180556234948535,0.9112531343347845,0.2993341199341736
96,3.0,0.65,3,23,8.180556234948535,0.6596737355758108,0.16482235526238873
96,3.0,0.65,3,24,8.180556234948535,0.18534476897004967,0.47988354450736953
96,3.0,0.65,3,25,8.180556234948535,0.3190022055523423,0.35905153673249296
96,3.0,0.65,3,26,8.180556234948535,0.12902568492059746,0.37588839770379806
